59	10.1457	9.99738	10.0044	10.0116	9.89178	9.65969
60	10.3291	10.2024	10.0921	10.0418	9.9048	9.66328
61	10.3534	10.2957	10.1627	10.0714	9.91819	9.66702
62	10.6741	10.5296	10.3009	10.1288	9.94082	9.67256
63	8.97631	9.56961	9.94302	10.0191	9.91188	9.66869
64	9.8372	9.73499	9.91443	10.0018	9.90964	9.66963
65	9.83164	9.79472	9.89207	9.98564	9.90729	9.67056
66	9.41507	9.56009	9.7632	9.93137	9.89242	9.66908
67	10.3296	10.0357	9.91621	9.96925	9.90565	9.67294
68	10.0445	10.0411	9.95086	9.9764	9.90985	9.67513
69	10.3653	10.2415	10.0628	10.0134	9.92368	9.67924
70	9.24353	9.62471	9.84149	9.94016	9.903	9.67662
71	10.0257	9.87254	9.89126	9.9483	9.90674	9.67874
72	9.91324	9.89769	9.89719	9.94497	9.90694	9.68019
73	9.75173	9.80748	9.8579	9.92658	9.9022	9.68063
74	10.5685	10.2778	10.0499	9.98764	9.92256	9.6862
75	10.109	10.1735	10.0659	9.99919	9.92827	9.68887
76	9.92461	10.0197	10.0277	9.9921	9.92816	9.69038
77	10.267	10.1725	10.0923	10.0182	9.93854	9.6941
78	9.6064	9.82264	9.96106	9.97907	9.92835	9.69353
79	9.80595	9.81233	9.91916	9.9626	9.92459	9.69427
80	10.5368	10.2601	10.086	10.0172	9.94341	9.69984
81	10.0872	10.1532	10.0863	10.0239	9.94784	9.70243
82	10.076	10.1055	10.0835	10.0288	9.95178	9.70494
83	10.1779	10.1503	10.109	10.043	9.95875	9.70815
84	9.66979	9.85331	9.99038	10.0075	9.94984	9.70789
85	9.89514	9.87917	9.96465	9.99683	9.94815	9.70918
86	10.3837	10.191	10.0778	10.0336	9.96159	9.71386
87	9.12558	9.53252	9.82059	9.94725	9.93578	9.70974
88	10.0381	9.84496	9.87934	9.95589	9.93894	9.71206
89	9.77443	9.80137	9.851	9.93862	9.93385	9.7125
90	10.5987	10.2941	10.053	10.0014	9.95441	9.71882
91	9.66241	9.90371	9.94747	9.96917	9.94538	9.71842
92	10.4079	10.2153	10.0719	10.0109	9.95969	9.7234
93	10.0318	10.1019	10.061	10.0129	9.96192	9.72565
94	10.1232	10.115	10.0778	10.0234	9.96692	9.72856
95	9.71434	9.8674	9.97962	9.99398	9.95909	9.72846
96	9.97728	9.93531	9.97899	9.99239	9.95966	9.7303
